Title,price,rating,offer
Apple iPhone 13 (128GB) - Midnight,"₹52,090",4.5 out of 5 stars,
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-grade Camera","₹16,999",3.7 out of 5 stars,Limited time deal
"Redmi 13C (Starshine Green, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","₹8,498",4.1 out of 5 stars,Limited time deal
"POCO M6 5G (Galactic Black,6GB RAM, 128GB Storage)","₹9,999",3.9 out of 5 stars,Limited time deal
"Redmi 13C 5G (Startrail Silver, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","₹10,499",4.0 out of 5 stars,Limited time deal
"realme NARZO 70x 5G (Ice Blue, 6GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box","₹12,998",4.0 out of 5 stars,Limited time deal
"Motorola G34 5G (Ocean Green, 8GB RAM, 128GB Storage)","₹11,852",3.8 out of 5 stars,
"Motorola Edge 50 Fusion 5G (Marshmallow Blue, 8GB RAM, 128GB Storage)","₹23,499",3.5 out of 5 stars,
"Samsung Galaxy M34 5G (Prism Silver,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|without Charger","₹14,999",4.0 out of 5 stars,Limited time deal
Samsung Galaxy F54 5G (Meteor Blue) (256 GB ROM) (8 GB RAM),"₹22,568",3.7 out of 5 stars,
"realme NARZO N63 (Twilight Purple,4GB RAM+128GB Storage) 45W Fast Charge | 5000mAh Durable Battery | 7.74mm Ultra Slim | 50MP AI Camera | AI Boost","₹8,998",4.0 out of 5 stars,Limited time deal
"POCO M6 5G (Orion Blue, 8GB RAM, 256GB Storage)","₹10,999",3.9 out of 5 stars,Limited time deal
"realme NARZO N63 (Leather Blue, 4GB RAM+128GB Storage) 45W Fast Charge | 5000mAh Durable Battery | 7.74mm Ultra Slim | 50MP AI Camera | AI Boost","₹8,998",4.0 out of 5 stars,Limited time deal
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)","₹17,120",4.2 out of 5 stars,
"iQOO Neo9 Pro 5G (Conqueror Black, 8GB RAM, 256GB Storage) | Snapdragon 8 Gen 2 processor | Supercomputing Chip Q1 | Flagship level Sony IMX920 camera","₹33,998",4.3 out of 5 stars,Limited time deal
"Redmi Note 13 Pro (Scarlet Red, 8GB RAM, 128GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge","₹24,999",4.0 out of 5 stars,
"realme NARZO N65 5G (Amber Gold 4GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The box","₹11,498",4.1 out of 5 stars,Limited time deal
Redmi 12 5G Jade Black 8GB RAM 256GB ROM,"₹13,998",3.9 out of 5 stars,
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 256GB Storage)","₹22,999",4.2 out of 5 stars,
"Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","₹10,499",4.0 out of 5 stars,Limited time deal
"Samsung Galaxy S24 5G AI Smartphone (Marble Gray, 8GB, 128GB Storage)","₹74,999",4.0 out of 5 stars,
POCO C65 (Pastel Green 4GB RAM 128GB Storage),"₹6,799",4.0 out of 5 stars,Limited time deal
"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The box","₹12,498",4.1 out of 5 stars,Limited time deal
"Nokia All-new 105 Single Sim Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio | Cyan","₹1,199",4.0 out of 5 stars,
"Samsung Galaxy M14 4G (Sapphire Blue,4GB,64GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 8GB RAM with RAM Plus | without Charger","₹8,269",3.8 out of 5 stars,
"Motorola a10 Dual Sim keypad mobile with 1750 mAh Battery, Expandable Storage upto 32GB, Wireless FM with Recording | Dark Blue","₹1,049",4.0 out of 5 stars,
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 128Gb Storage)","₹24,999",4.3 out of 5 stars,
"realme NARZO 70x 5G (Forest Green, 8GB RAM,128GB Storage) | 120Hz Ultra Smooth Display | Dimensity 6100+ 6nm 5G | 50MP AI Camera | 45W Charger in The Box","₹14,998",4.0 out of 5 stars,Limited time deal
Apple iPhone 15 (128 GB) - Pink,"₹70,790",4.5 out of 5 stars,
"Redmi 13C 5G (Startrail Silver, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","₹10,499",4.0 out of 5 stars,Limited time deal
"SHOPPOFOBIX Spray Mop Set with Microfiber Washable Pad, Best 360 Degree Easy Floor Cleaning for Home & Office,Kitchen, Aluminum (Spray) (Large)",₹699,4.1 out of 5 stars,
Apple iPhone 13 (128GB) - Midnight,"₹52,090",4.5 out of 5 stars,
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-grade Camera","₹16,999",3.7 out of 5 stars,Limited time deal
"realme NARZO 70x 5G (Ice Blue, 6GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box","₹12,998",4.0 out of 5 stars,Limited time deal
"Redmi 13C 5G (Startrail Silver, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","₹10,499",4.0 out of 5 stars,Limited time deal
Samsung Galaxy F54 5G (Meteor Blue) (256 GB ROM) (8 GB RAM),"₹22,568",3.7 out of 5 stars,
"Motorola Edge 50 Fusion 5G (Marshmallow Blue, 8GB RAM, 128GB Storage)","₹23,499",3.5 out of 5 stars,
"POCO M6 5G (Galactic Black,6GB RAM, 128GB Storage)","₹9,999",3.9 out of 5 stars,Limited time deal
"Redmi 13C (Starshine Green, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","₹8,498",4.1 out of 5 stars,Limited time deal
"Samsung Galaxy M34 5G (Prism Silver,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|without Charger","₹14,999",4.0 out of 5 stars,Limited time deal
"Motorola G34 5G (Ocean Green, 8GB RAM, 128GB Storage)","₹11,852",3.8 out of 5 stars,
"realme NARZO N63 (Twilight Purple,4GB RAM+128GB Storage) 45W Fast Charge | 5000mAh Durable Battery | 7.74mm Ultra Slim | 50MP AI Camera | AI Boost","₹8,998",4.0 out of 5 stars,Limited time deal
"POCO M6 5G (Orion Blue, 8GB RAM, 256GB Storage)","₹10,999",3.9 out of 5 stars,Limited time deal
"Motorola a10 Dual Sim keypad mobile with 1750 mAh Battery, Expandable Storage upto 32GB, Wireless FM with Recording | Dark Blue","₹1,049",4.0 out of 5 stars,
"realme NARZO N63 (Leather Blue, 4GB RAM+128GB Storage) 45W Fast Charge | 5000mAh Durable Battery | 7.74mm Ultra Slim | 50MP AI Camera | AI Boost","₹8,998",4.0 out of 5 stars,Limited time deal
"iQOO Neo9 Pro 5G (Conqueror Black, 8GB RAM, 256GB Storage) | Snapdragon 8 Gen 2 processor | Supercomputing Chip Q1 | Flagship level Sony IMX920 camera","₹33,998",4.3 out of 5 stars,Limited time deal
"Redmi Note 13 Pro (Scarlet Red, 8GB RAM, 128GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge","₹24,999",4.0 out of 5 stars,
"Nokia All-new 105 Single Sim Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio | Cyan","₹1,199",4.0 out of 5 stars,
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 256GB Storage)","₹22,999",4.2 out of 5 stars,
"realme NARZO N65 5G (Amber Gold 4GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The box","₹11,498",4.1 out of 5 stars,Limited time deal
Redmi 12 5G Jade Black 8GB RAM 256GB ROM,"₹13,998",3.9 out of 5 stars,
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)","₹17,120",4.2 out of 5 stars,
"Samsung Galaxy M14 4G (Sapphire Blue,4GB,64GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 8GB RAM with RAM Plus | without Charger","₹8,269",3.8 out of 5 stars,
"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The box","₹12,498",4.1 out of 5 stars,Limited time deal
"Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","₹10,499",4.0 out of 5 stars,Limited time deal
"vivo Y28s 5G (Vintage Red, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹15,499",5.0 out of 5 stars,Limited time deal
POCO C65 (Pastel Green 4GB RAM 128GB Storage),"₹6,799",4.0 out of 5 stars,Limited time deal
Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Grey,"₹10,999",3.9 out of 5 stars,Limited time deal
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 128GB Storage)","₹19,999",4.2 out of 5 stars,
Apple iPhone 15 (128 GB) - Pink,"₹70,790",4.5 out of 5 stars,
"Redmi 13C 5G (Startrail Silver, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","₹10,499",4.0 out of 5 stars,Limited time deal
"CASEOLOGY by Spigen Vacuum Pump Waterproof Phone Pouch up to 8.3"" IP68 Dry Bag for iPhone 15 14 13 12 Series, iPhone Pro Max, Samsung S24 S23 S22 Ultra, Pixel Series - Charcoal Grey","₹1,539",4.3 out of 5 stars,Prime Day Early Deal
